Area,Country,Year,Series,Capital_city,Value
92,British Virgin Islands,2005,Urban population (percent),,43.2
92,British Virgin Islands,2005,Urban population (percent growth rate per annum),,3.0
92,British Virgin Islands,2005,Rural population (percent growth rate per annum),,1.8
92,British Virgin Islands,2010,Urban population (percent),,44.8
92,British Virgin Islands,2010,Urban population (percent growth rate per annum),,4.0
92,British Virgin Islands,2010,Rural population (percent growth rate per annum),,2.7
92,British Virgin Islands,2015,Urban population (percent),,46.6
92,British Virgin Islands,2015,Urban population (percent growth rate per annum),,2.8
92,British Virgin Islands,2015,Rural population (percent growth rate per annum),,1.4
92,British Virgin Islands,2018,Urban population (percent),,47.7
92,British Virgin Islands,2018,Capital city population (thousands),Road Town,15.0
96,Brunei Darussalam,2005,Urban population (percent),,73.2
96,Brunei Darussalam,2005,Urban population (percent growth rate per annum),,2.4
96,Brunei Darussalam,2005,Rural population (percent growth rate per annum),,0.4
96,Brunei Darussalam,2010,Urban population (percent),,75.0
96,Brunei Darussalam,2010,Urban population (percent growth rate per annum),,1.7
96,Brunei Darussalam,2010,Rural population (percent growth rate per annum),,-0.1
96,Brunei Darussalam,2015,Urban population (percent),,76.7
96,Brunei Darussalam,2015,Urban population (percent growth rate per annum),,1.9
96,Brunei Darussalam,2015,Rural population (percent growth rate per annum),,0.0
96,Brunei Darussalam,2018,Urban population (percent),,77.6
96,Brunei Darussalam,2018,Capital city population (thousands),Bandar Seri Begawan,41.0
100,Bulgaria,2005,Urban population (percent),,70.6
100,Bulgaria,2005,Urban population (percent growth rate per annum),,-0.3
100,Bulgaria,2005,Rural population (percent growth rate per annum),,-1.9
100,Bulgaria,2005,Capital city population (thousands),Sofia,1169.0
100,Bulgaria,2005,Capital city population (as a percentage of total population),Sofia,15.2
100,Bulgaria,2005,Capital city population (as a percentage of total urban population),Sofia,21.6
100,Bulgaria,2010,Urban population (percent),,72.3
100,Bulgaria,2010,Urban population (percent growth rate per annum),,-0.3
100,Bulgaria,2010,Rural population (percent growth rate per annum),,-1.9
100,Bulgaria,2010,Capital city population (thousands),Sofia,1216.0
100,Bulgaria,2010,Capital city population (as a percentage of total population),Sofia,16.4
100,Bulgaria,2010,Capital city population (as a percentage of total urban population),Sofia,22.7
100,Bulgaria,2015,Urban population (percent),,74.0
100,Bulgaria,2015,Urban population (percent growth rate per annum),,-0.2
100,Bulgaria,2015,Rural population (percent growth rate per annum),,-1.9
100,Bulgaria,2015,Capital city population (thousands),Sofia,1256.0
100,Bulgaria,2015,Capital city population (as a percentage of total population),Sofia,17.5
100,Bulgaria,2015,Capital city population (as a percentage of total urban population),Sofia,23.6
100,Bulgaria,2018,Urban population (percent),,75.0
100,Bulgaria,2018,Capital city population (thousands),Sofia,1272.0
854,Burkina Faso,2005,Urban population (percent),,21.5
854,Burkina Faso,2005,Urban population (percent growth rate per annum),,6.7
854,Burkina Faso,2005,Rural population (percent growth rate per annum),,2.0
854,Burkina Faso,2005,Capital city population (thousands),Ouagadougou,1328.0
854,Burkina Faso,2005,Capital city population (as a percentage of total population),Ouagadougou,9.9
854,Burkina Faso,2005,Capital city population (as a percentage of total urban population),Ouagadougou,45.9
854,Burkina Faso,2010,Urban population (percent),,24.6
854,Burkina Faso,2010,Urban population (percent growth rate per annum),,5.7
854,Burkina Faso,2010,Rural population (percent growth rate per annum),,2.2
854,Burkina Faso,2010,Capital city population (thousands),Ouagadougou,1742.0
854,Burkina Faso,2010,Capital city population (as a percentage of total population),Ouagadougou,11.2
854,Burkina Faso,2010,Capital city population (as a percentage of total urban population),Ouagadougou,45.3
854,Burkina Faso,2015,Urban population (percent),,27.5
854,Burkina Faso,2015,Urban population (percent growth rate per annum),,5.2
854,Burkina Faso,2015,Rural population (percent growth rate per annum),,2.2
854,Burkina Faso,2015,Capital city population (thousands),Ouagadougou,2200.0
854,Burkina Faso,2015,Capital city population (as a percentage of total population),Ouagadougou,12.2
854,Burkina Faso,2015,Capital city population (as a percentage of total urban population),Ouagadougou,44.1
854,Burkina Faso,2018,Urban population (percent),,29.4
854,Burkina Faso,2018,Capital city population (thousands),Ouagadougou,2531.0
108,Burundi,2005,Urban population (percent),,9.4
108,Burundi,2005,Urban population (percent growth rate per annum),,5.5
108,Burundi,2005,Rural population (percent growth rate per annum),,2.7
108,Burundi,2005,Capital city population (thousands),Bujumbura,412.0
108,Burundi,2005,Capital city population (as a percentage of total population),Bujumbura,5.6
108,Burundi,2005,Capital city population (as a percentage of total urban population),Bujumbura,59.2
108,Burundi,2010,Urban population (percent),,10.6
108,Burundi,2010,Urban population (percent growth rate per annum),,5.9
108,Burundi,2010,Rural population (percent growth rate per annum),,3.0
108,Burundi,2010,Capital city population (thousands),Bujumbura,556.0
108,Burundi,2010,Capital city population (as a percentage of total population),Bujumbura,6.3
108,Burundi,2010,Capital city population (as a percentage of total urban population),Bujumbura,59.6
108,Burundi,2015,Urban population (percent),,12.1
108,Burundi,2015,Urban population (percent growth rate per annum),,5.6
108,Burundi,2015,Rural population (percent growth rate per annum),,2.7
108,Burundi,2015,Capital city population (thousands),Bujumbura,751.0
108,Burundi,2015,Capital city population (as a percentage of total population),Bujumbura,7.4
108,Burundi,2015,Capital city population (as a percentage of total urban population),Bujumbura,61.0
108,Burundi,2018,Urban population (percent),,13.0
108,Burundi,2018,Capital city population (thousands),Bujumbura,899.0
132,Cabo Verde,2005,Urban population (percent),,57.7
132,Cabo Verde,2005,Urban population (percent growth rate per annum),,3.3
132,Cabo Verde,2005,Rural population (percent growth rate per annum),,-0.2
132,Cabo Verde,2010,Urban population (percent),,61.8
132,Cabo Verde,2010,Urban population (percent growth rate per annum),,2.5
132,Cabo Verde,2010,Rural population (percent growth rate per annum),,-0.9
132,Cabo Verde,2015,Urban population (percent),,64.3
132,Cabo Verde,2015,Urban population (percent growth rate per annum),,2.0
132,Cabo Verde,2015,Rural population (percent growth rate per annum),,-0.2
132,Cabo Verde,2018,Urban population (percent),,65.7
132,Cabo Verde,2018,Capital city population (thousands),Praia,168.0
116,Cambodia,2005,Urban population (percent),,19.2
116,Cambodia,2005,Urban population (percent growth rate per annum),,2.4
116,Cambodia,2005,Rural population (percent growth rate per annum),,1.6
116,Cambodia,2005,Capital city population (thousands),Phnom Penh,1317.0
116,Cambodia,2005,Capital city population (as a percentage of total population),Phnom Penh,9.9
116,Cambodia,2005,Capital city population (as a percentage of total urban population),Phnom Penh,51.8
116,Cambodia,2010,Urban population (percent),,20.3
116,Cambodia,2010,Urban population (percent growth rate per annum),,2.6
116,Cambodia,2010,Rural population (percent growth rate per annum),,1.2
116,Cambodia,2010,Capital city population (thousands),Phnom Penh,1523.0
116,Cambodia,2010,Capital city population (as a percentage of total population),Phnom Penh,10.6
116,Cambodia,2010,Capital city population (as a percentage of total urban population),Phnom Penh,52.4
116,Cambodia,2015,Urban population (percent),,22.2
116,Cambodia,2015,Urban population (percent growth rate per annum),,3.4
116,Cambodia,2015,Rural population (percent growth rate per annum),,1.1
116,Cambodia,2015,Capital city population (thousands),Phnom Penh,1779.0
116,Cambodia,2015,Capital city population (as a percentage of total population),Phnom Penh,11.5
116,Cambodia,2015,Capital city population (as a percentage of total urban population),Phnom Penh,51.7
116,Cambodia,2018,Urban population (percent),,23.4
116,Cambodia,2018,Capital city population (thousands),Phnom Penh,1952.0
120,Cameroon,2005,Urban population (percent),,48.5
120,Cameroon,2005,Urban population (percent growth rate per annum),,3.9
120,Cameroon,2005,Rural population (percent growth rate per annum),,1.5
120,Cameroon,2005,Capital city population (thousands),Yaoundé,1781.0
120,Cameroon,2005,Capital city population (as a percentage of total population),Yaoundé,10.2
120,Cameroon,2005,Capital city population (as a percentage of total urban population),Yaoundé,21.1
120,Cameroon,2010,Urban population (percent),,51.6
120,Cameroon,2010,Urban population (percent growth rate per annum),,3.9
120,Cameroon,2010,Rural population (percent growth rate per annum),,1.5
120,Cameroon,2010,Capital city population (thousands),Yaoundé,2349.0
120,Cameroon,2010,Capital city population (as a percentage of total population),Yaoundé,11.8
120,Cameroon,2010,Capital city population (as a percentage of total urban population),Yaoundé,22.8
120,Cameroon,2015,Urban population (percent),,54.6
120,Cameroon,2015,Urban population (percent growth rate per annum),,3.8
120,Cameroon,2015,Rural population (percent growth rate per annum),,1.4
120,Cameroon,2015,Capital city population (thousands),Yaoundé,3097.0
120,Cameroon,2015,Capital city population (as a percentage of total population),Yaoundé,13.6
120,Cameroon,2015,Capital city population (as a percentage of total urban population),Yaoundé,24.8
120,Cameroon,2018,Urban population (percent),,56.4
120,Cameroon,2018,Capital city population (thousands),Yaoundé,3656.0
124,Canada,2005,Urban population (percent),,80.1
124,Canada,2005,Urban population (percent growth rate per annum),,1.1
124,Canada,2005,Rural population (percent growth rate per annum),,0.3
124,Canada,2005,Capital city population (thousands),Ottawa,1122.0
124,Canada,2005,Capital city population (as a percentage of total population),Ottawa,3.5
124,Canada,2005,Capital city population (as a percentage of total urban population),Ottawa,4.3
124,Canada,2010,Urban population (percent),,80.9
124,Canada,2010,Urban population (percent growth rate per annum),,1.3
124,Canada,2010,Rural population (percent growth rate per annum),,0.3
124,Canada,2010,Capital city population (thousands),Ottawa,1218.0
124,Canada,2010,Capital city population (as a percentage of total population),Ottawa,3.6
124,Canada,2010,Capital city population (as a percentage of total urban population),Ottawa,4.4
124,Canada,2015,Urban population (percent),,81.3
124,Canada,2015,Urban population (percent growth rate per annum),,1.1
124,Canada,2015,Rural population (percent growth rate per annum),,0.7
124,Canada,2015,Capital city population (thousands),Ottawa,1308.0
124,Canada,2015,Capital city population (as a percentage of total population),Ottawa,3.6
124,Canada,2015,Capital city population (as a percentage of total urban population),Ottawa,4.5
124,Canada,2018,Urban population (percent),,81.4
124,Canada,2018,Capital city population (thousands),Ottawa,1363.0
136,Cayman Islands,2005,Urban population (percent),,100.0
136,Cayman Islands,2005,Urban population (percent growth rate per annum),,3.1
136,Cayman Islands,2005,Rural population (percent growth rate per annum),,0.0
136,Cayman Islands,2010,Urban population (percent),,100.0
136,Cayman Islands,2010,Urban population (percent growth rate per annum),,2.6
136,Cayman Islands,2010,Rural population (percent growth rate per annum),,0.0
136,Cayman Islands,2015,Urban population (percent),,100.0
136,Cayman Islands,2015,Urban population (percent growth rate per annum),,1.5
136,Cayman Islands,2015,Rural population (percent growth rate per annum),,0.0
136,Cayman Islands,2018,Urban population (percent),,100.0
136,Cayman Islands,2018,Capital city population (thousands),George Town,35.0
140,Central African Republic,2005,Urban population (percent),,38.1
140,Central African Republic,2005,Urban population (percent growth rate per annum),,2.1
140,Central African Republic,2005,Rural population (percent growth rate per annum),,1.8
140,Central African Republic,2005,Capital city population (thousands),Bangui,644.0
